SITE_ID,VISIT_NO,CHLL_RESULT_ugL,CHLL_BATCH_ID,CHLL_QA_FLAG
NLA12_CA-166,1,3,L-392-12_12_2518,ND;X2
NLA12_CA-112,1,3.1,L-393-12_12_2519,ND;X2
NLA12_MN-157,1,44.6,120810.1,NA
NLA12_ME-R15,1,1.31,120810.1,NA
NLA12_ME-R06,1,1.14,120808.1,NA
NLA12_ME-R10,1,1.26,120808.1,NA
NLA12_MN-R01,1,2.06,120808.1,NA
NLA12_MS-105,1,4.58,120810.1,NA
NLA12_NE-129,1,161.6,120810.1,NA
NLA12_NH-112,2,2.62,120810.1,NA
NLA12_IN-160,1,7.65,120810.1,NA
NLA12_IN-172,1,1.57,120810.1,NA
NLA12_IN-128,1,5.25,120810.1,NA
NLA12_IL-109,1,32.8,120810.1,NA
NLA12_ND-193,1,87.35,120810.1,NA
NLA12_CT-107,1,3.58,120808.1,NA
NLA12_SD-165,1,1.97,120810.1,NA
NLA12_GA-104,1,6.16,120810.1,NA
NLA12_VA-126,1,13.09,120810.1,NA
NLA12_AL-114,1,12.08,120814.1,NA
NLA12_SD-132,1,11.2,120814.1,NA
NLA12_GA-R01,1,7.47,120810.1,NA
NLA12_IA-102,1,48.93,120814.1,NA
NLA12_ME-109,1,2.75,120814.1,NA
NLA12_MN-R13,1,8.27,120814.1,NA
NLA12_NV-R01,1,1.86,120810.1,NA
NLA12_RI-102,2,11.55,120810.1,NA
